D1,F1,D2,F2,D3,F3,D4,F4,D5,F5,D6,F6,D7,F7
0.210062,0.852488,0.775412,0.530593,0.115946,0.175646,0.292156,0.373666,0.566448,0.684058,0.352132,0.819717,0.593282,0.580942
0.211162,0.856428,0.776306,0.529793,0.117004,0.177646,0.293132,0.376466,0.567362,0.690479,0.353088,0.838438,0.594258,0.583652
0.212118,0.873188,0.777364,0.545443,0.11796,0.179896,0.294068,0.386636,0.568482,0.699968,0.354044,0.836127,0.595358,0.595702
0.213074,0.873328,0.77826,0.555173,0.118958,0.189606,0.295044,0.393036,0.5695,0.707788,0.355042,0.847347,0.596334,0.608002
0.21407,0.883918,0.779378,0.553893,0.119874,0.196556,0.296204,0.406466,0.570394,0.716259,0.35614,0.841258,0.59727,0.604052
0.21515,0.880938,0.780376,0.564163,0.121012,0.192146,0.29714,0.408736,0.57137,0.722378,0.357138,0.858358,0.598246,0.634762
0.216146,0.915918,0.78129,0.556683,0.12209,0.213466,0.298116,0.425026,0.57253,0.726218,0.358074,0.868708,0.599366,0.634692
0.217102,0.913808,0.782268,0.574913,0.122926,0.214436,0.299214,0.427416,0.573446,0.736079,0.35907,0.880527,0.600362,0.632162
0.218018,0.915318,0.783386,0.576863,0.123922,0.232306,0.300212,0.452406,0.574402,0.735628,0.360148,0.886237,0.601278,0.646712
0.219136,0.925878,0.784404,0.583483,0.125,0.235706,0.301128,0.452546,0.575358,0.745968,0.361104,0.885637,0.602296,0.653462
0.220114,0.934518,0.78534,0.598013,0.126018,0.240886,0.302084,0.452236,0.5766,0.756109,0.362122,0.904557,0.603374,0.652682
0.22111,0.950588,0.786316,0.600863,0.126912,0.246786,0.30304,0.471956,0.577454,0.766459,0.363018,0.918138,0.60433,0.670472
0.222046,0.958528,0.787394,0.607493,0.12793,0.265236,0.30428,0.484646,0.57841,0.772339,0.364136,0.913158,0.605286,0.671042
0.223186,0.968028,0.788372,0.616323,0.129008,0.273066,0.305136,0.480216,0.579366,0.786338,0.365092,0.924167,0.606242,0.687672
0.2241,0.977568,0.789266,0.618273,0.130006,0.281776,0.306092,0.493266,0.580486,0.783699,0.366068,0.917657,0.607362,0.690242
